Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Seed Round - Symphera,https://www.crunchbase.com/funding_round/symphera-seed--172b495b,"Manufacturing, Medical Device",HTGF | High-Tech Gruenderfonds,"Bayern Kapital, Carma Fund, HTGF | High-Tech Gruenderfonds, IRCAD Institut de Recherche contre les Cancers de l’Appareil Digestif, Stern Stewart Ventures, UnternehmerTUM",2500000,EUR,2782517,Seed,2024-09-16,,,,Symphera,https://www.crunchbase.com/organization/symphera,"München, Bayern, Germany, Europe",Symphera provides an all-in-one surgical system that makes minimally-invasive procedures more efficient.,https://symphera.io/,Seed,1,2500000,EUR,2782517,Yes,Seed,6
Seed Round - foodforecast,https://www.crunchbase.com/funding_round/foodforecast-seed--53d448a8,"Artificial Intelligence (AI), Bakery, Food and Beverage, Machine Learning, Restaurants, Software","Future Food Fund, SCALEHOUSE Capital","Aeronaut Invest, Blue Horizon Corporation, Future Food Fund, SCALEHOUSE Capital",3000000,EUR,3348211,Seed,2024-09-30,,,,foodforecast,https://www.crunchbase.com/organization/foodforecast,"Cologne, Nordrhein-Westfalen, Germany, Europe",IT Software using Artificial Intelligence,https://foodforecast.com,Seed,2,3500000,EUR,3876453,Yes,Seed,4
Seed Round - Exakt Health,https://www.crunchbase.com/funding_round/exakt-health-seed--6def477e,"Apps, Health Care, Medical, Sports",,"Auxxo, BackBone Ventures, Barmenia Next Strategies, Cornelia Oelling, ESB Invest Vorpommern, Maximilian Tayenthal",2200000,EUR,2456147,Seed,2024-09-23,,,,Exakt Health,https://www.crunchbase.com/organization/exakt-health,"Berlin, Berlin, Germany, Europe",Exakt Health is a physio app for sports injuries that creates an individualized rehabilitation plan.,https://exakthealth.com/,Seed,4,4542515,USD,4542515,Yes,Seed,6
Seed Round - DC Connected,https://www.crunchbase.com/funding_round/dc-connected-seed--09eeefe4,"Analytics, Artificial Intelligence (AI), Auto Insurance, Automotive, Generative AI, Machine Learning, Predictive Analytics, Software",VENPACE,"APX, Atlas Ventures, Bloomhaus Ventures, Borusan Ventures, Network.VC, VENPACE",2100000,EUR,2292116,Seed,2024-08-07,,,,DC Connected,https://www.crunchbase.com/organization/dc-connected,"Nersingen, Bayern, Germany, Europe","Saas, Artificial Intelligence, Predicitve Analytics, Automotive, Generative AI",https://www.dc-connected.de/,Seed,3,3200000,EUR,3478741,Yes,Seed,6
Seed Round - Groweo,https://www.crunchbase.com/funding_round/groweo-seed--328143af,"Software, Web Development",CapMan,CapMan,6000000,EUR,6668415,Seed,2024-09-18,,,,Groweo,https://www.crunchbase.com/organization/groweo,"Helsinki, Southern Finland, Finland, Europe","Groweo develops software and services to help customers grow their businesses smarter, quicker, and more efficiently.",https://groweo.com/,Seed,1,6000000,EUR,6668415,Yes,Seed,1
Seed Round - Blok-Z,https://www.crunchbase.com/funding_round/blok-z-seed--99844177,"Blockchain, CleanTech, Energy, GreenTech, SaaS, Software",Simya VC,Simya VC,500000,USD,500000,Seed,2024-09-17,,,,Blok-Z,https://www.crunchbase.com/organization/blok-z,"Berlin, Berlin, Germany, Europe","SaaS, CleanTech, Blockchain, Energy, Renewable",http://www.blok-z.com,Seed,5,500000,USD,500000,Yes,Seed,1
Seed Round - Wingbits,https://www.crunchbase.com/funding_round/wingbits-seed--73c4bedb,"Air Transportation, Transportation, Travel","Borderless Capital, Tribe Capital","Antler, Borderless Capital, Tribe Capital",3100000,EUR,3414887,Seed,2024-09-12,,,,Wingbits,https://www.crunchbase.com/organization/wingbits,"Stockholm, Stockholms Lan, Sweden, Europe",Wingbits provides flight tracking network system and rewarding the contributors for providing the data.,https://wingbits.com/,Seed,2,3190000,EUR,3513064,Yes,Seed,3
Pre Seed Round - Key Ward,https://www.crunchbase.com/funding_round/keyward-pre-seed--8e911d44,"Artificial Intelligence (AI), CAD, Data Management, Generative AI, Machine Learning, Manufacturing, Product Design, Software, Software Engineering",Wellstreet,"Andy Fine, Edouard lété, Eric Saint Frison, Wellstreet",1000000,EUR,1104067,Pre-Seed,2024-09-10,,,,Key Ward,https://www.crunchbase.com/organization/keyward,"Berlin, Berlin, Germany, Europe","Harness the power of Generative AI to automatically process your datasets for AI, unlocking product quality and speed",https://www.keyward.io,Seed,2,1150000,EUR,1266586,Yes,Seed,4
Seed Round - repath,https://www.crunchbase.com/funding_round/repath-seed--fd2eb5b3,"GreenTech, Infrastructure, Software, Supply Chain Management","Greencode Ventures, Lightbird","Greencode Ventures, Lightbird, SaaSgarage, WENVEST Capital",3600000,EUR,4017409,Seed,2024-09-19,,,,repath,https://www.crunchbase.com/organization/repath,"Hamburg, Hamburg, Germany, Europe","Identify, understand and act on climate risks decades before they happen with repath's SaaS-solution.",https://www.repath.earth,Seed,4,5142000,EUR,5671102,Yes,Seed,4
Seed Round - Sirius,https://www.crunchbase.com/funding_round/sirius-a300-seed--5de0497d,"Music, Subscription Service, Telecommunications",Market One Capital,"Angel Invest, Fund F, Market One Capital, New Renaissance Ventures, Silicon Gardens",4000000,USD,4000000,Seed,2024-09-20,,,,Sirius,https://www.crunchbase.com/organization/sirius-a300,"Berlin, Berlin, Germany, Europe",Sirius is a video conferencing platform specifically developed for music teaching.,https://sirius.video/,Seed,2,4000000,USD,4000000,Yes,Seed,5
Seed Round - Noah Labs,https://www.crunchbase.com/funding_round/noah-labs-seed--ab24b480,"Health Care, Hospital, Medical, Wellness",Nina Capital,"adesso ventures, DHZB Foundation, Nina Capital",3000000,EUR,3347841,Seed,2024-09-19,,,,Noah Labs,https://www.crunchbase.com/organization/noah-labs,"Berlin, Berlin, Germany, Europe",Noah Labs is a compant that creates AI-powered software solutions for medical care and research.,https://www.noah-labs.com,Seed,1,3000000,EUR,3347841,Yes,Seed,3
Pre Seed Round - Lichtwart,https://www.crunchbase.com/funding_round/lichtwart-pre-seed--3a6a50b8,"Cloud Computing, Internet of Things",BitStone Capital,"better ventures, BitStone Capital, Vireo Ventures",,,,Pre-Seed,2024-09-13,,,,Lichtwart,https://www.crunchbase.com/organization/lichtwart,"Herford, Nordrhein-Westfalen, Germany, Europe",Lichtwart is a startup that creates a cloud control platform for efficiently controlling and maintaining lighting systems.,https://lichtwart.io,Seed,1,,,,Yes,Seed,3
Seed Round - Starhive,https://www.crunchbase.com/funding_round/starhive-seed--640fea1d,"Data Management, Database, Software",node.vc,node.vc,3000000,USD,3000000,Seed,2024-09-11,,,,Starhive,https://www.crunchbase.com/organization/starhive,"Stockholm, Stockholms Lan, Sweden, Europe",Unify your business data in Starhive. Then build no-code apps on your data and accelerate your productivity,https://starhive.com/,Seed,1,3000000,USD,3000000,Yes,Seed,1
Seed Round - IRUBIS,https://www.crunchbase.com/funding_round/irubis-specializes-in-spectroscopy-for-bioprocessing-and-also-provides-biotechnology-solutions-seed--5bb739a5,"Biotechnology, Product Research",BioProcess360 Partners,"BioProcess360 Partners, Christoph Bremus, HTGF | High-Tech Gruenderfonds, Matthias Arnold, RoBet KG, Ventura BioMed Investors, Verve Ventures",,,,Seed,2024-08-29,,,,IRUBIS,https://www.crunchbase.com/organization/irubis-specializes-in-spectroscopy-for-bioprocessing-and-also-provides-biotechnology-solutions,"München, Bayern, Germany, Europe",IRUBIS offers bioprocessing and infrared spectroscopy services.,https://irubis.com/,Seed,5,5100000,EUR,5233603,Yes,Seed,7
Seed Round - Blockbrain,https://www.crunchbase.com/funding_round/blockbrain-seed--c7f3074a,"Analytics, Artificial Intelligence (AI), Blockchain, Software",Giesecke+Devrient Ventures,"Giesecke+Devrient Ventures, Mätch VC, Plug and Play",,,,Seed,2024-09-17,,,,Blockbrain,https://www.crunchbase.com/organization/blockbrain,"Hamburg, Hamburg, Germany, Europe",We analyze millions of transactions on the blockchain to proactively detect threats and opportunities for digital assets and crypto wallets,https://www.theblockbrain.io/,Seed,3,2500000,EUR,2649456,Yes,Seed,3
Seed Round - QMill,https://www.crunchbase.com/funding_round/qmill-ccd9-seed--66aa9dd4,"Information Technology, Internet","Antler, Maki.vc","Antler, Kvanted Ventures, Maki.vc",4000000,EUR,4450220,Seed,2024-09-17,,,,QMill,https://www.crunchbase.com/organization/qmill-ccd9,"Espoo, Southern Finland, Finland, Europe",QMill is the quantum algorithm creator.,https://qmill.com/en,Seed,2,5000000,EUR,5562775,Yes,Seed,3
Pre Seed Round - WARGdrones,https://www.crunchbase.com/funding_round/wargdrones-pre-seed--931e2708,"Artificial Intelligence (AI), Drones, Software",BUHLMANN GROUP,BUHLMANN GROUP,,,,Pre-Seed,2024-09-19,,,,WARGdrones,https://www.crunchbase.com/organization/wargdrones,"Hamburg, Hamburg, Germany, Europe","WARGdrones creates automated drone solutions, aided by artificial intelligence, to address complex tasks like explosive ordnance disposal.",https://wargdrones.de/en,Seed,6,850000,EUR,928295,Yes,Seed,1
Seed Round - Allogenetics,https://www.crunchbase.com/funding_round/allogenetics-seed--6d610545,"Health Care, Therapeutics","Carma Fund, NBank Capital","Carma Fund, NBank Capital",3400000,EUR,3767267,Seed,2024-08-29,,,,Allogenetics,https://www.crunchbase.com/organization/allogenetics,"Hanover, Niedersachsen, Germany, Europe",Allogenetics provides a unique solution to the problem of organ rejection following transplantation.,https://www.allogenetics.de/,Seed,1,3400000,EUR,3767267,Yes,Seed,2
Seed Round - Cardboard,https://www.crunchbase.com/funding_round/cardboard-76d7-seed--f1ee1c92,"Payments, SaaS, Software",Skyfall Ventures,"RunwayFBU, Skyfall Ventures, Sondo Capital",1900000,EUR,2121570,Seed,2024-08-27,,,,Cardboard,https://www.crunchbase.com/organization/cardboard-76d7,"Oslo, Oslo, Norway, Europe",Cardboard's strive is to make SaaS subscription management smarter and more efficient for enterprises.,https://cardboard.inc,Seed,1,1900000,EUR,2121570,Yes,Seed,3
Pre Seed Round - Vivian Lab,https://www.crunchbase.com/funding_round/vivian-lab-pre-seed--cffc9312,"Artificial Intelligence (AI), Health Care, Personal Health",Eleven Ventures,Eleven Ventures,300000,EUR,333667,Pre-Seed,2024-09-18,2700000,EUR,3003003,Vivian Lab,https://www.crunchbase.com/organization/vivian-lab,"Munich, Bayern, Germany, Europe",Vivian Lab is a women's digital health startup.,https://vivianlab.com/,Seed,1,300000,EUR,333667,Yes,Seed,1
Pre Seed Round - Pluvion,https://www.crunchbase.com/funding_round/pluvion-pre-seed--b71cd14e,"Artificial Intelligence (AI), Consulting, Information Technology, Software",D11Z.Ventures,"D11Z.Ventures, kopa ventures, Start-up BW Innovation Fonds",1000000,EUR,1110504,Pre-Seed,2024-10-01,,,,Pluvion,https://www.crunchbase.com/organization/pluvion,"Freiburg, Baden-Wurttemberg, Germany, Europe",Pluvion is an innovative Water Tech company that provides sophisticated and forward-thinking software solutions for water management.,https://pluvion.de,Seed,1,1000000,EUR,1110504,Yes,Seed,3
Seed Round - Root Global,https://www.crunchbase.com/funding_round/root-global-seed--934cb079,"B2B, Food and Beverage, SaaS, Sustainability",Point Nine,"arc investors, Hello World, Point Nine, Project A Ventures",8000000,EUR,8852642,Seed,2024-08-19,,,,Root Global,https://www.crunchbase.com/organization/root-global,"Berlin, Berlin, Germany, Europe",Root Global develops carbon accounting and emissions management platforms to help companies manage and reduce their environmental footprint.,https://www.rootglobal.io/,Seed,2,10500000,EUR,11404029,Yes,Seed,4
Pre Seed Round - Zive,https://www.crunchbase.com/funding_round/zive-9632-pre-seed--9b99d2ce,"Artificial Intelligence (AI), Generative AI, SaaS, Search Engine, Semantic Search, Software",Headline,Headline,3200000,USD,3200000,Pre-Seed,2024-09-03,,,,Zive,https://www.crunchbase.com/organization/zive-9632,"Hamburg, Hamburg, Germany, Europe",Enterprise Knowledge & AI platform that makes all company knowledge universally accessible to all employees.,https://www.zive.com,Seed,1,3200000,USD,3200000,Yes,Seed,1
Pre Seed Round - Lucid Genomics,https://www.crunchbase.com/funding_round/lucid-genomics-pre-seed--a182d5a5,"Biotechnology, Health Care, Pharmaceutical, Precision Medicine",Caesar Ventures,"another.vc, BIF Partners, Caesar Ventures, Max Planck Foundation",1300000,EUR,1438983,Pre-Seed,2024-09-02,,,,Lucid Genomics,https://www.crunchbase.com/organization/lucid-genomics,"Berlin, Berlin, Germany, Europe",Lucid Genomics is an AI-powered platform that focuses on diagnostics and biomarker detection.,https://www.lucid-genomics.com,Seed,2,1570000,EUR,1737832,Yes,Seed,4
Seed Round - Black Forest Labs,https://www.crunchbase.com/funding_round/black-forest-labs-01de-seed--b2580825,"Artificial Intelligence (AI), Media and Entertainment, Software",Andreessen Horowitz,"Andreessen Horowitz, Brendan Iribe, Garry Tan, General Catalyst, Michael Ovitz, Mätch VC, Timo Aila, Vladlen Koltun",28000000,EUR,30202193,Seed,2024-08-01,,,,Black Forest Labs,https://www.crunchbase.com/organization/black-forest-labs-01de,"Freiburg Im Breisgau, Baden-Wurttemberg, Germany, Europe","Black Forest Labs develops advanced generative deep learning models for images and videos, emphasizing broad accessibility and transparency.",https://blackforestlabs.ai,Seed,1,28000000,EUR,30202193,Yes,Seed,8
Pre Seed Round - Polku Therapeutics,https://www.crunchbase.com/funding_round/polku-therapeutics-pre-seed--c028c629,"Medical, Therapeutics",,"Business Finland, Innovestor, Torrey Pines Investment",2000000,USD,2000000,Pre-Seed,2024-09-17,,,,Polku Therapeutics,https://www.crunchbase.com/organization/polku-therapeutics,"Helsinki, Southern Finland, Finland, Europe",Polku Therapeutics operates as a therapeutics company.,https://www.polku-therapeutics.com/,Seed,1,2000000,USD,2000000,Yes,Seed,3
Seed Round - OmMej,https://www.crunchbase.com/funding_round/ommej-seed--879fae3a,"Health Care, Information and Communications Technology (ICT), Mental Health, Mobile Apps, Software",Gorilla Capital,"Fabian Hagman, Gorilla Capital",350000,EUR,388867,Seed,2024-09-23,,,,OmMej,https://www.crunchbase.com/organization/ommej,"Limhamn, Skane Lan, Sweden, Europe",OmMej develops a digital platform used for mapping and monitoring children's mental health.,http://www.ommej.se/,Seed,2,954032,USD,954032,Yes,Seed,2
Seed Round - Liveday,https://www.crunchbase.com/funding_round/liveday-seed--a926ac74,"Event Management, Gaming, Sports, Ticketing",,"Beyond Tickets AB, Henrik Zetterberg, Max Sandin",4000000,SEK,392213,Seed,2024-09-19,,,,Liveday,https://www.crunchbase.com/organization/liveday,"Helsingborg, Skane Lan, Sweden, Europe",Liveday is a next-generation event platform that includes everything in one system.,https://liveday.se/,Seed,1,4000000,SEK,392213,Yes,Seed,3
Seed Round - VoiceLine,https://www.crunchbase.com/funding_round/voiceline-seed--d79b2aee,"Artificial Intelligence (AI), Information Technology, Messaging, Sales, Software","SCALEHOUSE Capital, Venture Stars","Alexander Helm, Archimedes New Ventures, Brian Protiva, Cavalry Ventures, Christian Rebernik, Christopher Lohmann, Daniel Jahn, Egora Holding, Felix Grabsch, Florian Huber, Jan Sprengnetter, Jens Bormann, Jens Quadbeck, Jens Rassloff, Jens Schulte Bockum, Julius Göllner, Marc M. Völcker, Marc Stilke, Marcel Rohner, Max Messing, Peter Walz, SCALEHOUSE Capital, Sven Lackinger, Venture Stars",2400000,EUR,2625037,Seed,2024-08-13,,,,VoiceLine,https://www.crunchbase.com/organization/voiceline,"München, Bayern, Germany, Europe",VoiceLine is an AI-based field sales revenue intelligence tool that automates administrative tasks and provides actionable insights.,https://www.getvoiceline.com,Seed,2,2400000,EUR,2625037,Yes,Seed,24
Seed Round - Freda,https://www.crunchbase.com/funding_round/freda-165c-seed--92ad17f1,"E-Commerce, Food and Beverage, Manufacturing",Graphit NeoTaste,"Combination Ventures, FoodLabs, Graphit NeoTaste",,,,Seed,2024-09-17,,,,Freda,https://www.crunchbase.com/organization/freda-165c,"Passau, Bayern, Germany, Europe",Freda is a culinary technology firm that makes its own pizzas.,https://www.eatfreda.com,Seed,2,,,,Yes,Seed,3
Pre Seed Round - Qualiwise,https://www.crunchbase.com/funding_round/qualiwise-pre-seed--04fe0b74,"Artificial Intelligence (AI), Software",123 Ventures,123 Ventures,,,,Pre-Seed,2024-08-27,,,,Qualiwise,https://www.crunchbase.com/organization/qualiwise,"Munich, Bayern, Germany, Europe",Qualiwise has created software that digitizes the whole quality control process with the help of artificial intelligence.,https://www.qualiwise.io,Seed,1,,,,Yes,Seed,1
Seed Round - SportAI,https://www.crunchbase.com/funding_round/sport-ai-seed--5838d4c6,"Computer Vision, Information Technology, Machine Learning, Software, Sports",Skyfall Ventures,"Dekel Valtzer, Magnus Carlsen, MP Pensjon, Skyfall Ventures, Sverre Munck",1800000,USD,1800000,Seed,2024-08-19,,,,SportAI,https://www.crunchbase.com/organization/sport-ai,"Oslo, Oslo, Norway, Europe",SportAI is a B2B sports technology company at the forefront of enhancing sports technique analysis insights via API solutions.,https://www.sportai.com/,Seed,2,2560138,USD,2560138,Yes,Seed,5
Pre Seed Round - Kini,https://www.crunchbase.com/funding_round/kini-pre-seed--d07f1753,"Information Services, Recruiting",,"BM H Beteiligungs-Managementgesellschaft Hessen, Dr. Jan Brinckmann, Heiko Hubertz, Marvin Homburg, Vimajo Family Office",,,,Pre-Seed,2024-08-28,,,,Kini,https://www.crunchbase.com/organization/kini,"Stadtallendorf, Hessen, Germany, Europe","Kini streamlines recruitment by synchronizing data between stakeholders, enabling agencies, talent channels, and customers.",https://www.getkini.com/company/about-us,Seed,1,,,,Yes,Seed,5
Seed Round - 199 Biotechnologies,https://www.crunchbase.com/funding_round/199-biotechnologies-seed--437fe72a,"Health Care, Industrial, Pharmaceutical",,,5250000,GBP,7046753,Seed,2024-09-27,,,,199 Biotechnologies,https://www.crunchbase.com/organization/199-biotechnologies,"England, Nordrhein-Westfalen, Germany, Europe","199 Biotechnologies is a biotech firm that treats a broad range of ailments, from cancer to neurodegenerative diseases.",https://www.199.bio/#home,Seed,1,5250000,GBP,7046753,Yes,Seed,
Seed Round - Meter friends,https://www.crunchbase.com/funding_round/meter-friends-seed--8c704b85,"Consulting, Information Services, Information Technology",,"Capacura, Enpulse, Erich Wex, Salzburg, Stadtwerke Herne AG",,,,Seed,2024-09-05,,,,Meter friends,https://www.crunchbase.com/organization/meter-friends,"Pullach, Bayern, Germany, Europe",Meter friends produces intelligent measuring systems and helps save energy.,https://www.zaehlerfreunde.de/,Seed,2,,,,Yes,Seed,5
Seed Round - Dogs 'n Tiger,https://www.crunchbase.com/funding_round/dogs-n-tiger-seed--7ac53a51,Manufacturing,SevenAccelerator,SevenAccelerator,,,,Seed,2024-08-27,,,,Dogs 'n Tiger,https://www.crunchbase.com/organization/dogs-n-tiger,"Hamburg, Hamburg, Germany, Europe",Dogs 'n Tiger is a manufacturer of animal foods and snacks.,https://dogs-tiger.de/,Seed,2,,,,Yes,Seed,1
Pre Seed Round - 0-Mission,https://www.crunchbase.com/funding_round/0-mission-pre-seed--d5017045,"Energy, Marketplace, Renewable Energy, Small and Medium Businesses, Sustainability",,,130000,EUR,145484,Pre-Seed,2024-09-24,,,,0-Mission,https://www.crunchbase.com/organization/0-mission,"Copenhagen, Hovedstaden, Denmark, Europe",0-Mission is a B2B marketplace that connects developers of renewable energy with corporate consumers.,https://www.the0mission.dk,Seed,2,275484,USD,275484,Yes,Seed,
Pre Seed Round - Proplab,https://www.crunchbase.com/funding_round/proplab-a0ca-pre-seed--3abaadaa,"Home Decor, Home Improvement, Home Renovation, Real Estate",,"Loop Capital, Malmö Startups",5000000,SEK,485942,Pre-Seed,2024-09-12,,,,Proplab,https://www.crunchbase.com/organization/proplab-a0ca,"Helsingborg, Skane Lan, Sweden, Europe","Proplab is a platform that showcases spaces in the best possible way, from empty spaces to full environments.",https://proplab.ai,Seed,1,5000000,SEK,485942,Yes,Seed,2
Seed Round - Golfstrom Energy GmbH,https://www.crunchbase.com/funding_round/golfstrom-energy-gmbh-seed--e358962b,Renewable Energy,STS Ventures,STS Ventures,,,,Seed,2024-09-16,,,,Golfstrom Energy GmbH,https://www.crunchbase.com/organization/golfstrom-energy-gmbh,"Munich, Bayern, Germany, Europe",Embedded financial services for renewable energy,https://www.golfstrom.solar/,Seed,1,,,,Yes,Seed,1
