Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Seed Round - ANYMOVE,https://www.crunchbase.com/funding_round/anymove-152b-seed--76857ca8,"Transportation, Travel",,ICLUB VC,,,,Seed,2022-01-01,,,,ANYMOVE,https://www.crunchbase.com/organization/anymove-152b,"Berlin, Berlin, Germany, Europe",Car rental app platform designed to bring down car ownership and move the full transition to e-mobility forward.,https://www.anymove.app/,Seed,3,,,,Yes,Early Stage Venture,1
Seed Round - Sissoo,https://www.crunchbase.com/funding_round/sissoo-seed--3e0c88df,"Communities, E-Commerce, E-Commerce Platforms, Health Care, Home Health Care, Nutrition, Personal Health, Psychology, Telehealth, Therapeutics",James Grant,"Adrian Lochland, Anonymous Investor, Ben Madin, James Grant, Judy Grant, Paul Marriner, Peter Majeed, Rebecca Griswold",217519,EUR,247405,Seed,2022-01-01,,,,Sissoo,https://www.crunchbase.com/organization/sissoo,"Munich, Bayern, Germany, Europe","Sissoo is a community that offers body therapy, energy medicine, nutrition, herbal medicine, spiritual guidance, and yoga therapy services.",https://care.sissoo.com,Seed,3,400962,EUR,449104,Yes,Seed,8
Seed Round - TREEO | Fairventures Digital GmbH,https://www.crunchbase.com/funding_round/treeo-fairventures-digital-gmbh-seed--52a9ea92,"Apps, Artificial Intelligence (AI), Forestry, GreenTech, Software",,"Kreissparkasse Ludwigsburg, Oswald, Ulrich Bosch",2850000,EUR,3156090,Seed,2022-03-31,,,,TREEO | Fairventures Digital GmbH,https://www.crunchbase.com/organization/treeo-fairventures-digital-gmbh,"Stuttgart, Baden-Wurttemberg, Germany, Europe",TREEO provides accurate & traceable nature-based Carbon Dioxide Removals (CDRs) while empowering tree growers through the TREEO Technology.,https://treeo.one,Seed,3,4570380,EUR,5070812,Yes,,3
Pre Seed Round - chargeIQ,https://www.crunchbase.com/funding_round/chargeiq-pre-seed--ec420170,"Charging Infrastructure, Electric Vehicle, Energy, Renewable Energy, SaaS, Software",,Business angels,1325000,EUR,1381855,Pre-Seed,2022-07-01,,,,chargeIQ,https://www.crunchbase.com/organization/chargeiq,"Leinfelden-echterdingen, Baden-Wurttemberg, Germany, Europe",chargeIQ provides a B2B-SaaS-solution for the niche of the mass market.,https://www.chargeiq.de,Seed,2,1325000,EUR,1381855,Yes,Seed,1
Seed Round - Opto,https://www.crunchbase.com/funding_round/opto-056f-seed--0d609d58,"Finance, FinTech, Logistics, Payments",,Auxxo,5000000,USD,5000000,Seed,2022-07-06,30000000,USD,30000000,Opto,https://www.crunchbase.com/organization/opto-056f,"Berlin, Berlin, Germany, Europe",Opto is a fintech company focused on supply chain finance and logistics technology.,https://getopto.com,Seed,2,5500000,USD,5500000,Yes,Seed,1
Seed Round - Vuuh,https://www.crunchbase.com/funding_round/vuuh-2427-seed--ffe91831,"Data Integration, Data Management, Software",,Export and Investment Fund,2000000,DKK,295927,Seed,2022-03-23,,,,Vuuh,https://www.crunchbase.com/organization/vuuh-2427,"Aarhus, Midtjylland, Denmark, Europe",A disruptive new alternative to traditional EDI.,https://www.vuuh.com,Seed,2,5518620,DKK,824904,Yes,Seed,1
Seed Round - THE ENIGMASHIELD,https://www.crunchbase.com/funding_round/the-enigmashield-seed--6268dc08,"Auto Insurance, Health Insurance, Insurance, Life Insurance",TusStar,TusStar,500000,USD,500000,Seed,2022-06-12,900000,USD,900000,THE ENIGMASHIELD,https://www.crunchbase.com/organization/the-enigmashield,"Särö, Hallands Lan, Sweden, Europe",THE ENIGMASHIELD LIMITED offers innovative insurance solutions to safeguard your future and protect what matters most.,https://enigmashield.site,Seed,1,500000,USD,500000,Yes,Seed,1
Pre Seed Round - nuwo,https://www.crunchbase.com/funding_round/nuwo-pre-seed--5c4b80dd,Software,,"Katharina Juenger, Polymath Digital",,,,Pre-Seed,2022-04-01,,,,nuwo,https://www.crunchbase.com/organization/nuwo,"Berlin, Berlin, Germany, Europe","Workplace as-a-Service, Equipping Employees",http://www.nuwo.co,Seed,2,2750000,EUR,3038775,Yes,Seed,2
Pre Seed Round - FLEXeCHARGE,https://www.crunchbase.com/funding_round/flexecharge-pre-seed--adc40247,"Electric Vehicle, Information Technology, Software",Accelerace,"Accelerace, Jacob Knobel",100671,EUR,105488,Pre-Seed,2022-06-30,,,,FLEXeCHARGE,https://www.crunchbase.com/organization/flexecharge,"Copenhagen, Hovedstaden, Denmark, Europe",FLEXeCHARGE offers smart charging solutions for charging station manufacturers and backend providers.,https://flexecharge.com,Seed,2,100671,EUR,105488,Yes,Seed,2
Seed Round - MINDZEIT®,https://www.crunchbase.com/funding_round/mindzeit-seed--7c0b44e0,"Apps, Fitness, InsurTech, Wellness",,Federal Ministry for Economic Affairs and Climate Action,,,,Seed,2022-06-01,,,,MINDZEIT®,https://www.crunchbase.com/organization/mindzeit,"Köln, Nordrhein-Westfalen, Germany, Europe",MINDZEIT is an intelligent coaching system based on mindfulness and meditation.,https://mindzeit.app/,Seed,5,60000,EUR,69567,Yes,Seed,1
Pre Seed Round - Techman Services,https://www.crunchbase.com/funding_round/techman-services-pre-seed--129f7ca2,"Business Development, Consulting, Technical Support",EthAum Venture Partners,EthAum Venture Partners,250000,USD,250000,Pre-Seed,2022-02-12,400000,USD,400000,Techman Services,https://www.crunchbase.com/organization/techman-services,"Ylivieska, Oulu, Finland, Europe","We provides innovative tech solutions, driving efficiency and growth with customized, high-quality services for your business.",https://techmanservices.tech,Seed,1,250000,USD,250000,Yes,Seed,1
Seed Round - Forget Finance,https://www.crunchbase.com/funding_round/forget-finance-seed--d2c17421,"Financial Services, FinTech",,"b2venture, ICLUB VC, TA Ventures, UVC Partners",3500000,EUR,3956926,Seed,2022-02-23,,,,Forget Finance,https://www.crunchbase.com/organization/forget-finance,"Berlin, Berlin, Germany, Europe",Forget Finance provides a personal finance coach that manages your entire financial life - with personalized guidance and automation.,http://forget.finance,Seed,2,4200000,EUR,4790714,Yes,Seed,4
Pre Seed Round - Mobile Healthcare Solutions,https://www.crunchbase.com/funding_round/mobile-healthcare-solutions-pre-seed--5b12acca,"Health Care, Health Diagnostics, Wellness",,"Christoph Lange, ICLUB VC, TA Ventures",1300000,EUR,1431113,Pre-Seed,2022-03-24,,,,Mobile Healthcare Solutions,https://www.crunchbase.com/organization/mobile-healthcare-solutions,"Hamburg, Hamburg, Germany, Europe",Mobile Healthcare Solutions provides test kits that analyze the body and provide personalized nutritional recommendations.,https://getcasc.com,Seed,2,1300000,EUR,1431113,Yes,Seed,3
Pre Seed Round - Frankly Insure,https://www.crunchbase.com/funding_round/frankly-insure-pre-seed--bc98b11e,"Embedded Software, FinTech, Insurance, InsurTech",The Aventures,"Antler, Henrik K. Ibsen, Peter Engel, The Aventures",2000000,USD,2000000,Pre-Seed,2022-06-15,,,,Frankly Insure,https://www.crunchbase.com/organization/frankly-insure,"Copenhagen, Hovedstaden, Denmark, Europe",Frankly Insure helps brands and businesses provide protection to their customers. Embedded insurance.,https://franklyinsure.com,Seed,1,2000000,USD,2000000,Yes,Seed,4
Pre Seed Round - The Raging Pig Company,https://www.crunchbase.com/funding_round/raging-pig-co-pre-seed--2a8f4b9b,"Food and Beverage, Food Processing, Snack Food",,"Artesian VC, Brinc",80000,USD,80000,Pre-Seed,2022-03-01,,,,The Raging Pig Company,https://www.crunchbase.com/organization/raging-pig-co,"Hamburg, Hamburg, Germany, Europe",Raging Pig is a food tech company on a mission to remove pigs from the global food system!,https://ragingpig.co,Seed,1,80000,USD,80000,Yes,Seed,2
Pre Seed Round - Shiawa,https://www.crunchbase.com/funding_round/shiawa-pre-seed--c6d797cf,"Apps, Mobile Apps, Software",LA ROCA Capital,LA ROCA Capital,,,,Pre-Seed,2022-01-01,,,,Shiawa,https://www.crunchbase.com/organization/shiawa,"Stuttgart, Baden-Wurttemberg, Germany, Europe","SHIAWA GmbH offers web-based solutions for office management, including desk booking and meeting organization.",https://shiawa.com,Seed,1,,,,Yes,Seed,1
Pre Seed Round - Happie Animals (Animalytics GmbH),https://www.crunchbase.com/funding_round/happie-animals-animalytics-gmbh-pre-seed--8bfcda4d,"Health Care, Insurance, InsurTech, mHealth",,LA ROCA Capital,,,,Pre-Seed,2022-01-01,,,,Happie Animals (Animalytics GmbH),https://www.crunchbase.com/organization/happie-animals-animalytics-gmbh,"Hamburg, Hamburg, Germany, Europe","Let's create a Happier world for horses, pets and people. Animal Insurtech X mHealth Startup.",https://happieanimals.com/,Seed,1,,,,Yes,Seed,1
Seed Round - Mash Makes,https://www.crunchbase.com/funding_round/mash-makes-seed--17448536,"Biofuel, Biomass Energy, Carbon Capture, Energy, Fuel, GreenTech, Industrial, Sustainability, Waste Management",Morten Primdahl,Morten Primdahl,486900,USD,486900,Seed,2022-05-01,,,,Mash Makes,https://www.crunchbase.com/organization/mash-makes,"Copenhagen, Hovedstaden, Denmark, Europe",MASH Makes' scalable pyrolysis & gasification platform has the potential to remove a gigatonne of carbon from the atmosphere by 2040,https://mashmakes.com/,Seed,8,18795835,USD,18795835,Yes,Early Stage Venture,1
Seed Round - Futurelight,https://www.crunchbase.com/funding_round/futurelight-seed--739f1e74,"Finance, Insurance, Life Insurance",Athena Ventures,Athena Ventures,600000,USD,600000,Seed,2022-04-18,1200000,USD,1200000,Futurelight,https://www.crunchbase.com/organization/futurelight,"Savitaipale, Southern Finland, Finland, Europe","Futurelight Limited: Your trusted insurance partner, providing tailored solutions and financial protection for a brighter, secure future.",https://futurelight.website/,Seed,1,600000,USD,600000,Yes,Seed,1
Seed Round - Bullfinch,https://www.crunchbase.com/funding_round/bullfinch-seed--03801f70,"Embedded Systems, Energy, Finance, Financial Services, FinTech, Impact Investing, Lending, Renewable Energy",Impax Asset Management,Impax Asset Management,5500000,USD,5500000,Seed,2022-01-17,,,,Bullfinch,https://www.crunchbase.com/organization/bullfinch,"Frankfurt, Hessen, Germany, Europe",Point of Sale BNPL financing platform for renewable energy,https://www.bullfinch.com,Seed,4,10061669,USD,10061669,Yes,Seed,1
Pre Seed Round - Euerzuhause,https://www.crunchbase.com/funding_round/euerzuhause-pre-seed--2c1232b3,"Construction, Home Renovation",REHAU New Ventures,REHAU New Ventures,,,,Pre-Seed,2022-01-01,,,,Euerzuhause,https://www.crunchbase.com/organization/euerzuhause,"Munich, Bayern, Germany, Europe",Euerzuhause is an innovative matchmaking platform - with the aim of bringing together future builders and construction companies.,https://www.euerzuhause.de/,Seed,1,,,,Yes,Seed,1
Pre Seed Round - Junto,https://www.crunchbase.com/funding_round/junto-bbc6-pre-seed--aaf9f3fb,"E-Learning, EdTech, Software",,"Emerge, JALE Beteiligungs GmbH",,,,Pre-Seed,2022-04-12,,,,Junto,https://www.crunchbase.com/organization/junto-bbc6,"Berlin, Berlin, Germany, Europe",Junto is an EdTech that offers digital live training for companies.,https://junto.eu/,Seed,3,6200000,EUR,6402800,Yes,Seed,2
Pre Seed Round - Qruise,https://www.crunchbase.com/funding_round/qruise-f868-pre-seed--bec32043,"Artificial Intelligence (AI), Machine Learning, Quantum Computing, SaaS, Software Engineering",,Creative Destruction Lab (CDL),,,,Pre-Seed,2022-01-01,,,,Qruise,https://www.crunchbase.com/organization/qruise-f868,"Saarbrücken, Saarland, Germany, Europe",Machine Learning for Science - starting with Quantum Technologies,https://qruiseos.com/,Seed,2,,,,Yes,Seed,1
Seed Round - tenac.io,https://www.crunchbase.com/funding_round/tenac-io-seed--b99de1c5,"Health Care, Machine Learning, Software",Sir Michael Hintze,"Sir Michael Hintze, Tanegra LLC Series H",700000,EUR,775180,Seed,2022-03-31,,,,tenac.io,https://www.crunchbase.com/organization/tenac-io,"Berlin, Berlin, Germany, Europe",Tenac.io is an AI-driven therapy optimization for cardiovascular patients.,http://www.tenac.io,Seed,5,1200000,EUR,1371787,Yes,Seed,2
Seed Round - AiSupervision,https://www.crunchbase.com/funding_round/aisupervision-seed--a437982f,"Artificial Intelligence (AI), Information Technology, Operating Systems",,"Davidovs Venture Collective, First Momentum Ventures, Y Combinator",,,,Seed,2022-05-01,,,,AiSupervision,https://www.crunchbase.com/organization/aisupervision,"Mannheim, Baden-Wurttemberg, Germany, Europe",AiSupervision is an AI-based platform that provides an operating system for factory production lines.,https://www.aisupervision.com,Seed,1,,,,Yes,Seed,3
Seed Round - Speechly,https://www.crunchbase.com/funding_round/speechly-seed--f4ec1f7d,"Artificial Intelligence (AI), Computer, Machine Learning, Software",SNÖ Ventures,"10x Value Partners, FAST — by GETTYLAB, SNÖ Ventures, Y Combinator",,,,Seed,2022-03-31,,,,Speechly,https://www.crunchbase.com/organization/speechly,"Helsinki, Southern Finland, Finland, Europe",Speechly is software that provides a voice user interface (UI) API for web and mobile.,https://www.speechly.com,Seed,3,2000000,EUR,2224501,Yes,M&A,4
Pre Seed Round - Cogram,https://www.crunchbase.com/funding_round/cogram-pre-seed--0d273b7b,"Artificial Intelligence (AI), Information Technology, Software",Y Combinator,Y Combinator,500000,USD,500000,Pre-Seed,2022-01-01,,,,Cogram,https://www.crunchbase.com/organization/cogram,"Berlin, Berlin, Germany, Europe",The intelligent AI coworker for your team,https://cogram.com,Seed,2,4500000,USD,4500000,Yes,Seed,1
Seed Round - GetWhy A/S,https://www.crunchbase.com/funding_round/getwhy-seed--b5bc7d3d,"Artificial Intelligence (AI), Consumer Research, Market Research",,,45000000,DKK,6373141,Seed,2022-05-01,,,,GetWhy A/S,https://www.crunchbase.com/organization/getwhy,"Copenhagen, Hovedstaden, Denmark, Europe",GetWhy is a consumer research technology company delivering human insight to BtC enterprises via its video-based platform & proprietary AI.,https://getwhy.io,Seed,7,53876043,USD,53876043,Yes,Early Stage Venture,
Pre Seed Round - Ordinary Seafood,https://www.crunchbase.com/funding_round/numi-1b35-pre-seed--0ad2783a,"Biotechnology, Food and Beverage, Seafood","Nucleus Capital, Y Combinator","Alisha Fredriksson, Jeannine Klein, Joe Zadeh, Lorenzo Thione, Martin Weber, Nucleus Capital, Pioneer Fund, Shared Future Fund, Sundeep Ahuja, Y Combinator",,,,Pre-Seed,2022-05-30,,,,Ordinary Seafood,https://www.crunchbase.com/organization/numi-1b35,"Potsdam, Brandenburg, Germany, Europe",Ordinary Seafood is a food tech company that uses the power of plant protein and biotechnology to deliver sustainable seafood.,https://www.ordinaryseafood.com,Seed,2,,,,Yes,Seed,10
Seed Round - Flinkback,https://www.crunchbase.com/funding_round/flinkback-seed--c5db917b,"Artificial Intelligence (AI), Education, SaaS, Sales Automation",,Deutsche Weiterbildungsgesellschaft,,,,Seed,2022-01-04,,,,Flinkback,https://www.crunchbase.com/organization/flinkback,"Offenburg, Baden-Wurttemberg, Germany, Europe",AI solutions for education sales,https://flinkback.com,Seed,2,,,,Yes,Seed,1
Seed Round - Cylib,https://www.crunchbase.com/funding_round/cylib-gmbh-seed--b9666b0d,"Battery, Chemical Engineering, CleanTech",,Leblon Capital,,,,Seed,2022-07-01,,,,Cylib,https://www.crunchbase.com/organization/cylib-gmbh,"Aachen, Nordrhein-Westfalen, Germany, Europe",Cylib is a start-up for holistic battery recycling,https://www.cylib.de/,Seed,4,66600000,EUR,71939011,Yes,Early Stage Venture,1
Seed Round - Irriot,https://www.crunchbase.com/funding_round/irriot-seed--e9320300,"AgTech, Internet of Things",,Global Agri-Food Advancement Partnership,,,,Seed,2022-01-01,,,,Irriot,https://www.crunchbase.com/organization/irriot,"Djursholm, Stockholms Lan, Sweden, Europe",Irriot is an  IoT automation platform.,http://www.irriot.com/,Seed,2,300000,USD,300000,Yes,Seed,1
Pre Seed Round - Evira,https://www.crunchbase.com/funding_round/evira-pre-seed--53ef414b,"Health Care, Medical, mHealth, Software",,,2600000,SEK,256284,Pre-Seed,2022-07-30,,,,Evira,https://www.crunchbase.com/organization/evira,"Stockholm, Stockholms Lan, Sweden, Europe",Evira is a digital tool for clinical treatment of pediatric obesity.,https://www.evira.se,Seed,2,22600000,SEK,2211032,Yes,Seed,
Pre Seed Round - Pollinations,https://www.crunchbase.com/funding_round/pollinations-pre-seed--9231dd02,"Blockchain, Cryptocurrency",,Outlier Ventures,100000,USD,100000,Pre-Seed,2022-04-27,,,,Pollinations,https://www.crunchbase.com/organization/pollinations,"Berlin, Berlin, Germany, Europe",Pollinations is the platform for creating AI tech developing tools.,https://pollinations.ai/,Seed,1,100000,USD,100000,Yes,Seed,1
Pre Seed Round - Crypto Walkers,https://www.crunchbase.com/funding_round/crypto-walkers-pre-seed--f76e4b2b,"Blockchain, Cryptocurrency, Metaverse",,Outlier Ventures,100000,USD,100000,Pre-Seed,2022-01-25,,,,Crypto Walkers,https://www.crunchbase.com/organization/crypto-walkers,"Stockholm, Stockholms Lan, Sweden, Europe","6545 Metaverse Ready Walkers. 3D animated. Upcoming P2E game, & Walker World on Unreal Engine",https://cryptowalkers.io/,Seed,1,100000,USD,100000,Yes,Seed,1
Seed Round - Reverion,https://www.crunchbase.com/funding_round/reverion-seed--cc0412f0,"Energy, Energy Efficiency, Renewable Energy",Extantia Capital,"Doral Energy-Tech Ventures, European Social Fund (ESF), Extantia Capital, Federal Ministry for Economic Affairs and Energy (BMWi), LANDWÄRME, Possible Ventures",7000000,EUR,7312125,Seed,2022-06-29,,,,Reverion,https://www.crunchbase.com/organization/reverion,"Eresing, Bayern, Germany, Europe",Reverion develops reversible and carbon-negative power plants using patented biogas technology for renewable energy.,http://www.reverion.de,Seed,5,73997688,EUR,81384183,Yes,Early Stage Venture,6
Seed Round - AiBA,https://www.crunchbase.com/funding_round/aiba-seed--afa10b93,"Artificial Intelligence (AI), Cyber Security, Real Time, Security, Software",,"Antler, Wiski Capital",740000,USD,740000,Seed,2022-06-28,,,,AiBA,https://www.crunchbase.com/organization/aiba,"Gjøvik, Oppland, Norway, Europe","AiBA is an AI-powered moderator tool that identifies and detects real-time detection of fake profiles, grooming, and toxicity.",https://aiba.ai,Seed,1,740000,USD,740000,Yes,Seed,2
Seed Round - ESPEXA,https://www.crunchbase.com/funding_round/espexa-seed--01ad98ca,"Hospitality, Travel",ANUP REDDY PERATI,ANUP REDDY PERATI,500000,EUR,521947,Seed,2022-05-16,,,,ESPEXA,https://www.crunchbase.com/organization/espexa,"Madrid, Ostergotlands Lan, Sweden, Europe",Travel Experiences,,Seed,1,500000,EUR,521947,Yes,M&A,1
Seed Round - Helppy,https://www.crunchbase.com/funding_round/helppy-seed--527d79bb,Health Care,Alliance VC,"Alliance VC, Elias Aalto, Icebreaker.vc, Illusian Founder Office, Johannes Schildt",3000000,EUR,3164701,Seed,2022-05-17,,,,Helppy,https://www.crunchbase.com/organization/helppy,"Helsinki, Southern Finland, Finland, Europe","Europe's #1 on-demand home care. Get your dedicated carer in hours, not days.",https://www.helppy.com,Seed,2,3425000,EUR,3659573,Yes,Seed,5
Seed Round - fulfin,https://www.crunchbase.com/funding_round/fulfin-seed--3e8e6697,"Finance, Financial Services, FinTech, Lending","Hevella Capital, Stableton Financial","Hevella Capital, Lakeside Invest & Consult, Stableton Financial",3100000,EUR,3233019,Seed,2022-07-01,,,,fulfin,https://www.crunchbase.com/organization/fulfin,"Munich, Bayern, Germany, Europe",Short term lending for digital SMEs,https://fulfin.com,Seed,7,22408000,EUR,24555235,Yes,,3
