Transaction Name,Transaction Name URL,Organization Industries,Lead Investors,Investor Names,Money Raised,Money Raised Currency,Money Raised (in USD),Funding Type,Announced Date,Pre-Money Valuation,Pre-Money Valuation Currency,Pre-Money Valuation (in USD),Organization Name,Organization Name URL,Organization Location,Organization Description,Organization Website,Funding Stage,Number of Funding Rounds,Total Funding Amount,Total Funding Amount Currency,Total Funding Amount (in USD),Equity Only Funding,Funding Status,Number of Investors
Seed Round - DUDE CHEM,https://www.crunchbase.com/funding_round/dude-chem-seed--dc4e1509,"Chemical, Manufacturing, Pharmaceutical","b2venture, Vorwerk Ventures","Auxxo, b2venture, Borski Fund, Frontline Ventures, PUSH VC, Vorwerk Ventures",6500000,EUR,7004046,Seed,2024-02-07,,,,DUDE CHEM,https://www.crunchbase.com/organization/dude-chem,"Berlin, Berlin, Germany, Europe",DUDE CHEM is a leading company in green chemical manufacturing based in Berlin.,https://www.dudechem.com/,Seed,2,9200000,EUR,10087582,Yes,Seed,6
Seed Round - Qubinets,https://www.crunchbase.com/funding_round/qubinets-seed--4df94886,"Analytics, Artificial Intelligence (AI), Data Management",,Fil Rouge Capital (FRC),1100000,EUR,1225462,Seed,2023-07-12,,,,Qubinets,https://www.crunchbase.com/organization/qubinets,"Nürnberg, Bayern, Germany, Europe","Qubinets is a software firm that offers big data architecture, ML/AI Operations, and training services.",https://qubinets.com/,Seed,2,1600000,EUR,1733037,Yes,Seed,1
Seed Round - akirolabs,https://www.crunchbase.com/funding_round/akirolabs-seed--702ec142,"Artificial Intelligence (AI), Information Technology, Procurement, SaaS","D11Z.Ventures, HTGF | High-Tech Gruenderfonds, OTB Ventures","D11Z.Ventures, Detlef Schultz, Fredrick Spalcke, Heiko Schwarz, HTGF | High-Tech Gruenderfonds, Markus Ehrle, OTB Ventures, Serpentine Ventures",5000000,USD,5000000,Seed,2024-01-29,,,,akirolabs,https://www.crunchbase.com/organization/akirolabs,"Berlin, Berlin, Germany, Europe",Akirolabs develops and provides an AI powered SaaS platform for collaborative strategic procurement.,https://akirolabs.com/,Seed,3,5000000,USD,5000000,Yes,Seed,8
Seed Round - Payrails,https://www.crunchbase.com/funding_round/payrails-seed--0b3b90f1,"Developer APIs, Enterprise Software, Financial Services, FinTech, Mobile Payments, Payments",EQT Ventures,"Andreessen Horowitz, EQT Ventures, Flixfounders, General Catalyst, HV Capital",14400000,EUR,15418153,Seed,2023-06-07,,,,Payrails,https://www.crunchbase.com/organization/payrails,"Berlin, Berlin, Germany, Europe",Payrails enables high-growth companies to craft their payment experiences and financial services globally.,https://www.payrails.com,Seed,2,21818153,USD,21818153,Yes,Seed,5
Pre Seed Round - Lendorse,https://www.crunchbase.com/funding_round/lendorse-pre-seed--72753799,"EdTech, FinTech, Social Impact",,Vealo Ventures,475000,EUR,518699,Pre-Seed,2023-06-20,,,,Lendorse,https://www.crunchbase.com/organization/lendorse,"Munich, Bayern, Germany, Europe","B2B2C Fintech, Social Impact, Increasing access to education through ""study now, pay later"" agreements.",https://lendorse.com/,Seed,4,11718602,USD,11718602,Yes,Seed,1
Seed Round - Monite,https://www.crunchbase.com/funding_round/monite-seed--e652ced9,"Financial Services, FinTech, Payments, SaaS, Software","Third Prime, Valar Ventures","Oliver Mihm, Point72 Ventures, Ralph Muller, Third Prime, Tomahawk.VC, Valar Ventures",6000000,USD,6000000,Seed,2024-02-19,,,,Monite,https://www.crunchbase.com/organization/monite,"Berlin, Berlin, Germany, Europe",Monite is an add invoicing and payables automation management platform.,https://monite.com,Seed,4,17445838,USD,17445838,Yes,Seed,6
Seed Round - Tomorrow Things,https://www.crunchbase.com/funding_round/tomorrow-things-seed--03a82f4a,"Business Development, SaaS, Software","HTGF | High-Tech Gruenderfonds, neoteq ventures","Christian Noske, HTGF | High-Tech Gruenderfonds, Markus Doetsch, Maximilian Eichler, neoteq ventures, Notion Capital, Robin Capital, Thomas Hollwedel, Thomas Lang",1500000,EUR,1642930,Seed,2024-03-13,,,,Tomorrow Things,https://www.crunchbase.com/organization/tomorrow-things,"Bonn, Nordrhein-Westfalen, Germany, Europe",Tomorrow Thing is an intelligent automation platform that makes digital twins of technological assets.,https://tomorrowthings.com,Seed,1,1500000,EUR,1642930,Yes,Seed,9
Seed Round - Gevulot,https://www.crunchbase.com/funding_round/gevulot-seed--f086dc6f,"Blockchain, Cryptocurrency, Internet",Variant,"Calvin Liu, Everstake Capital, George Lambeth, Marc Boiron, Mo Dong, Rockaway Blockchain Fund, Shumo Chu, Staking Facilities, Variant, Volt Capital",6000000,USD,6000000,Seed,2024-01-29,,,,Gevulot,https://www.crunchbase.com/organization/gevulot,"Helsinki, Southern Finland, Finland, Europe",Gevulot is a blockchain technology solutions provider that focuses on zero-knowledge proofs.,https://www.gevulot.com,Seed,1,6000000,USD,6000000,Yes,Seed,10
Pre Seed Round - Lesslie,https://www.crunchbase.com/funding_round/lesslie-pre-seed--8ff2fe44,"Financial Services, Payments, Software",Wellstreet,"David Craelius, Erik Seifert, Quinary Investment, Wellstreet",18000000,SEK,1709728,Pre-Seed,2024-02-09,,,,Lesslie,https://www.crunchbase.com/organization/lesslie,"Stockholm, Stockholms Lan, Sweden, Europe","Lesslie is a payment institution that provides automated payment, accounting reconciliation, and cross-border payment services.",https://www.lesslie.se/,Seed,5,43500000,SEK,4371910,Yes,Seed,4
Pre Seed Round - Enefty Technologies,https://www.crunchbase.com/funding_round/enefty-technologies-pre-seed--dad1bf25,"Blockchain, Web3",FasterCapital,"Bashar Hamood, FasterCapital, Hesham Zreik",200000,USD,200000,Pre-Seed,2023-10-21,,,,Enefty Technologies,https://www.crunchbase.com/organization/enefty-technologies,"Berlin, Berlin, Germany, Europe",Next generation loyalty memberships for brands powered by web3,https://enefty.app/,Seed,2,400000,USD,400000,Yes,Seed,3
Seed Round - Crypto Rogue Games,https://www.crunchbase.com/funding_round/crypto-rogue-games-seed--5b7361d8,"Blockchain, Gaming","Avalanche, Lyrik Ventures, Merit Circle","Avalanche, Bryan Pellegrino, CoinFund, Devmons Pellegrino, Lyrik Ventures, Merit Circle, SNZ Holding, Zee Prime Capital",1500000,USD,1500000,Seed,2024-03-15,,,,Crypto Rogue Games,https://www.crunchbase.com/organization/crypto-rogue-games,"Umeå, Vasterbottens Lan, Sweden, Europe",Crypto Rogue Games is a gaming and blockchain platform.,,Seed,1,1500000,USD,1500000,Yes,Seed,8
Seed Round - Buddywise,https://www.crunchbase.com/funding_round/buddywise-seed--341aba32,"Computer Vision, Machine Learning, Software","J12, Kvanted Ventures","Aligned Ventures, Antler, Eric Quidenus-Wahlforss, Hans Stråberg, Hans-Olov Blom, J12, Kvanted Ventures",3500000,EUR,3792969,Seed,2024-03-25,,,,Buddywise,https://www.crunchbase.com/organization/buddywise,"Stockholm, Stockholms Lan, Sweden, Europe",Buddywise is a platform that enables traditional industries to automate continuous safety monitoring efficiently with computer vision.,https://www.buddywise.co/,Seed,3,5077684,USD,5077684,Yes,Seed,7
Seed Round - Octomind,https://www.crunchbase.com/funding_round/octomind-seed--3d32d4ff,"Artificial Intelligence (AI), Software, Web Apps, Web Development",Cherry Ventures,"Charlie Songhurst, Cherry Ventures, Lutz Finger, Sean Mullaney",4500000,EUR,4874614,Seed,2024-02-23,,,,Octomind,https://www.crunchbase.com/organization/octomind,"Karlsruhe, Baden-Wurttemberg, Germany, Europe","Octomind is a developer tool using AI to make automated end-to-end testing stable, fast, and affordable.",https://www.octomind.dev,Seed,1,4500000,EUR,4874614,Yes,Seed,4
Seed Round - Mat4Green Tech,https://www.crunchbase.com/funding_round/mat4green-tech-seed--268df735,"Recycling, Solar",,"Chalmers Ventures AB, Jovitech Invest, Swedish Energy Agency",9000000,SEK,858892,Seed,2024-02-07,,,,Mat4Green Tech,https://www.crunchbase.com/organization/mat4green-tech,"Göteborg, Vastra Gotaland, Sweden, Europe",Mat4Green Tech develops a technology that recycles Indium from industrial waste in an efficient and climate-neutral way.,http://www.mat4greentech.com,Seed,2,10000000,SEK,957190,Yes,Seed,3
Pre Seed Round - Carelane,https://www.crunchbase.com/funding_round/carelane-pre-seed--cbbb9530,"Health Care, Web Development",HTGF | High-Tech Gruenderfonds,HTGF | High-Tech Gruenderfonds,800000,EUR,863000,Pre-Seed,2023-09-01,,,,Carelane,https://www.crunchbase.com/organization/carelane,"Bremen, Bremen, Germany, Europe",Carelane uses digital health technology to reduce inefficiencies in clinical trials.,https://www.carelane.io/,Seed,1,800000,EUR,863000,Yes,Seed,1
Seed Round - SEMRON,https://www.crunchbase.com/funding_round/semron-seed--57993a22,"3D Technology, Artificial Intelligence (AI), B2B",Join Capital,"Andreas Werner, Chon Tang, Hans Rohrer, Hermann Hauser Investment, Join Capital, OTB Ventures, SquareOne Venture Capital, Stuart Parkin, Sven Sieber, Volker Aue, Wolfram Drescher",7300000,EUR,7915398,Seed,2024-01-30,,,,SEMRON,https://www.crunchbase.com/organization/semron,"Dresden, Sachsen, Germany, Europe","SEMRON develops a 3D-scaled AI inference chip, based on a new proven semiconductor device.",https://www.semron.ai,Seed,3,7300000,EUR,7915398,Yes,Seed,11
Seed Round - Scaleup Finance,https://www.crunchbase.com/funding_round/scaleup-finance-seed--57e1a90f,"Finance, FinTech, Software, Subscription Service",Inveready,"CircleRock Capital, Crowberry Capital, Fin Capital, Inveready, PROfounders Capital, Seed-X",8000000,USD,8000000,Seed,2024-03-26,,,,Scaleup Finance,https://www.crunchbase.com/organization/scaleup-finance,"Copenhagen, Hovedstaden, Denmark, Europe",Scaleup Finance provides a financial management platform designed to improve the management and administration of financial operations.,https://www.scaleup.finance,Seed,5,25609256,USD,25609256,Yes,Seed,6
Seed Round - Greenlyte Carbon Technologies,https://www.crunchbase.com/funding_round/greenlyte-carbon-technologies-seed--3a8522a5,"Carbon Capture, Chemical, Manufacturing","Earlybird Venture Capital, Green Generation Fund","Carbon Removal Partners, Earlybird Venture Capital, Green Generation Fund, Partech, Udo Jung",10500000,EUR,11444466,Seed,2024-03-06,,,,Greenlyte Carbon Technologies,https://www.crunchbase.com/organization/greenlyte-carbon-technologies,"Essen, Nordrhein-Westfalen, Germany, Europe",Greenlyte Carbon Technologies develops and markets an efficient low temperature DAC process that captures CO2 from the air.,https://www.greenlyte.tech/,Seed,3,18500000,EUR,20105139,Yes,Seed,5
Seed Round - ATMOS Space Cargo,https://www.crunchbase.com/funding_round/atmos-space-cargo-seed--a0a9ae6e,"Aerospace, Manufacturing, Space Travel",,"Amadeus APEX Technology Fund, another.vc, E2MC Ventures, HTGF | High-Tech Gruenderfonds, MBG Baden Wuerttemberg, OTB Ventures, Seraphim Space, VENTIS CAPITAL",1300000,EUR,1400809,Seed,2024-02-07,,,,ATMOS Space Cargo,https://www.crunchbase.com/organization/atmos-space-cargo,"Baden-baden, Baden-Wurttemberg, Germany, Europe","ATMOS Space Cargo develops and manufactures space capsules to return cargo from space, microgravity experiments to entire rocket stages.",https://atmos-space-cargo.com,Seed,2,5300000,EUR,5783016,Yes,Seed,8
Pre Seed Round - BlockBunny,https://www.crunchbase.com/funding_round/blockbunny-pre-seed--63e3d67f,"Blockchain, Cryptocurrency, Non-Fungible Token (NFT), Social Media, Web3",FasterCapital,"Bashar Hamood, FasterCapital, Hesham Zreik",,,,Pre-Seed,2023-12-03,,,,BlockBunny,https://www.crunchbase.com/organization/blockbunny,"Stockholm, Stockholms Lan, Sweden, Europe","BlockBunny is the platform for the combination of crypto and entertainment, creating web3 social networks, web3 games.",https://www.blockbunny.one,Seed,1,,,,Yes,Seed,3
Seed Round - einwert,https://www.crunchbase.com/funding_round/einwert-seed--c7320d12,"Property Management, Real Estate, Software",Ventech,"468 Capital, Anne Bosch, Auxxo, Infinitas Capital, Juergen Roth, Martin Linder, Oliver Manojlovic, Peter Bosch, Stephan Rohr, Ulrich Gros, Ventech, Wecken & Cie.",4000000,EUR,4372708,Seed,2024-01-09,,,,einwert,https://www.crunchbase.com/organization/einwert,"München, Bayern, Germany, Europe",Hybrid appraiser reimagining real estate valuation as a whole new ESG-compliant value experience,https://einwert.com/,Seed,2,6000000,EUR,6527288,Yes,Seed,12
Seed Round - Kipu Quantum,https://www.crunchbase.com/funding_round/kipu-quantum-seed--926e3ff4,"Hardware, Information Technology, Software","DeepTech & Climate Fonds, HV Capital","DeepTech & Climate Fonds, Entrada Ventures, First Momentum Ventures, HV Capital, Onsight Ventures, QAI Ventures, Quantonation",10500000,EUR,11527428,Seed,2023-12-19,,,,Kipu Quantum,https://www.crunchbase.com/organization/kipu-quantum,"Karlsruhe, Baden-Wurttemberg, Germany, Europe",Kipu Quantum is a software company that develops application and hardware-specific quantum computing solutions for industrial use.,https://kipu-quantum.com/,Seed,2,13500000,EUR,14523677,Yes,Seed,7
Pre Seed Round - OTee,https://www.crunchbase.com/funding_round/otee-pre-seed--105b54c3,"Industrial Automation, Machinery Manufacturing, Manufacturing","RunwayFBU, Superangel","Antler, Gunnar Evensen, Olav Slupphaug, RunwayFBU, Snorre Larsen, Startuplab, Superangel, Trond Riiber Knudsen",1250000,EUR,1342650,Pre-Seed,2024-02-05,,,,OTee,https://www.crunchbase.com/organization/otee,"Oslo, Oslo, Norway, Europe",OTee specializes in the development of industrial automation software.,https://otee.io,Seed,2,1467650,USD,1467650,Yes,Seed,8
Pre Seed Round - MATVIS,https://www.crunchbase.com/funding_round/matvis-pre-seed--e1fee706,,,"Start-up BW Innovation Fonds, Stefan Sulistyo",,,,Pre-Seed,2024-02-01,,,,MATVIS,https://www.crunchbase.com/organization/matvis,"Tübingen, Baden-Wurttemberg, Germany, Europe","MATVIS secures AI by detecting vulnerabilities and preventing adverse outcomes, ensuring robust model performance.",https://matvis.com,Seed,1,,,,Yes,Seed,2
Pre Seed Round - Debtist,https://www.crunchbase.com/funding_round/debtist-pre-seed--88e11a8a,"Debt Collections, Embedded Software, Financial Services, Payments","10x Value Partners, āltitude","10x Value Partners, 22 Capital, blueworld.group, Other People's Capital (OPC), āltitude",,,,Pre-Seed,2023-10-05,,,,Debtist,https://www.crunchbase.com/organization/debtist,"Frankfurt, Hessen, Germany, Europe","Debtist is the one-stop shop for receivables management and debt collection in the fintech, e-commerce and software sectors",https://www.debtist.de/,Seed,1,,,,Yes,Seed,5
Pre Seed Round - Roro,https://www.crunchbase.com/funding_round/roro-9d0d-pre-seed--ba29ff66,"Online Games, PC Games",node.vc,"Callum Underwood, Craig Fletcher, FOV Ventures, Luis Villegas, Nick Button-Brown, node.vc, Robin Flodin",1500000,EUR,1626452,Pre-Seed,2024-01-30,,,,Roro,https://www.crunchbase.com/organization/roro-9d0d,"Stockholm, Stockholms Lan, Sweden, Europe",Roro is a new mobile gaming firm that builds imaginative play experiences in Unreal Engine.,https://www.rorointeractive.com/,Seed,1,1500000,EUR,1626452,Yes,Seed,7
Seed Round - Elucid Social,https://www.crunchbase.com/funding_round/elucid-social-seed--f10505db,"Health Care, Information Technology, Online Portals, Risk Management, Supply Chain Management",UBS Optimus Foundation,"ApexMed Ventures, Atreyu, Aude Ventures, elea Foundation for Ethics in Globalization, FINCA International, IBB Ventures, Katapult, Satrana Ventures, UBS Optimus Foundation",,,,Seed,2024-01-26,,,,Elucid Social,https://www.crunchbase.com/organization/elucid-social,"Berlin, Berlin, Germany, Europe",Elucid Social integrates businesses with the social good movement through a data-driven strategy that yields measurable results.,https://www.elucid.social,Seed,3,,,,Yes,Seed,9
Seed Round - Toddle,https://www.crunchbase.com/funding_round/toddle-b9e9-seed--5655d25f,"Apps, Software, Web Development",Inventure,"David Okuniev, Inventure, Lifeline Ventures, PSV",4300000,USD,4300000,Seed,2024-03-01,,,,Toddle,https://www.crunchbase.com/organization/toddle-b9e9,"Copenhagen, Hovedstaden, Denmark, Europe","No-code alternative to full-featured Javascript frameworks - built-in live collaboration, version control and hosting",https://toddle.dev,Seed,2,5490000,USD,5490000,Yes,Seed,4
Seed Round - Acto,https://www.crunchbase.com/funding_round/acto-4b29-seed--996cf973,"Artificial Intelligence (AI), B2B, Information Services, Sales, Software","468 Capital, Cusp Capital","468 Capital, adesso ventures, another.vc, Benedikt Franke, Cusp Capital, Niklas Hellemann",3700000,EUR,4005473,Seed,2024-02-22,,,,Acto,https://www.crunchbase.com/organization/acto-4b29,"Paderborn, Nordrhein-Westfalen, Germany, Europe",Acto is an AI-based software that helps sales managers by syncing all sales data in one place and provides a customized data signal to CRM.,https://www.heyacto.com/,Seed,1,3700000,EUR,4005473,Yes,Seed,6
Seed Round - Emulate Energy,https://www.crunchbase.com/funding_round/emulate-energy-seed--5004e10b,"Energy, Energy Efficiency, Software",,"AxSol, Course Corrected, Skellefteå Kraft, Utvecklingsklustret Energi AB",32000000,SEK,3003990,Seed,2023-06-16,182200464,SEK,17104010,Emulate Energy,https://www.crunchbase.com/organization/emulate-energy,"Lund, Skane Lan, Sweden, Europe",Emulate provides SaaS for utilities to offer behind-the-meter services and optimize demand flexibility with virtual battery technology.,https://www.emulate.energy/,Seed,3,56561291,SEK,5396545,Yes,Seed,4
Seed Round - CemVision,https://www.crunchbase.com/funding_round/cemvision-seed--42521d82,"CleanTech, Industrial, Manufacturing",,"BackingMinds, Polar Structure, Zacua Ventures",10000000,EUR,10862103,Seed,2024-03-21,,,,CemVision,https://www.crunchbase.com/organization/cemvision,"Nybro, Kalmar Lan, Sweden, Europe",CemVision is an industrial tech company that has been developing CO2-free cement.,https://cemvision.tech/,Seed,2,12100000,EUR,12951982,Yes,Seed,3
Seed Round - Holdbar,https://www.crunchbase.com/funding_round/holdbar-seed--128372c9,"Software, Travel","Firstminute Capital, Seed Capital","Christoph Deckert, Firstminute Capital, Founderment Ventures, Seed Capital, Steve Fredette",3500000,USD,3500000,Seed,2024-02-09,,,,Holdbar,https://www.crunchbase.com/organization/holdbar,"Aarhus, Midtjylland, Denmark, Europe",Holdbar is here to assist you in giving wonderful experiences and managing your business better.,https://holdbar.com,Seed,2,4500000,USD,4500000,Yes,Seed,5
Seed Round - Orbis Medicines,https://www.crunchbase.com/funding_round/orbis-medicines-seed--ad0da33b,"Medical, Pharmaceutical, Therapeutics","Forbion Capital Partners, Novo Holdings","Forbion Capital Partners, Novo Holdings",26000000,EUR,28095533,Seed,2024-02-29,,,,Orbis Medicines,https://www.crunchbase.com/organization/orbis-medicines,"Copenhagen, Hovedstaden, Denmark, Europe",Orbis Medicines is a novel macrocyclic chemistry and computational platform for high-throughput drug discovery.,https://www.orbismedicines.com,Seed,2,26000000,EUR,28095533,Yes,Seed,2
Seed Round - Acorai,https://www.crunchbase.com/funding_round/acorai-seed--fa48e257,"Health Care, Medical Device, Pharmaceutical",Solardis Health Ventures,"Carma Fund, CerraCap Ventures, Chris Gasteratos, KHP Ventures, Solardis Health Ventures",4500000,USD,4500000,Seed,2024-01-19,,,,Acorai,https://www.crunchbase.com/organization/acorai,"Helsingborg, Skane Lan, Sweden, Europe",Acorai is a medical device manufacturer of non-invasive intracardiac pressure monitoring to improve heart failure management.,http://acorai.com,Seed,8,11427861,USD,11427861,Yes,Seed,5
Seed Round - Crystals of Naramunz,https://www.crunchbase.com/funding_round/crystals-of-naramunz-seed--d5c40d83,"Blockchain, Gaming, Video Games",Lyrik Ventures,"Avalanche, Bryan Pellegrino, Devmons GG, Lyrik Ventures, Merit Circle, SNZ Holding",1500000,USD,1500000,Seed,2024-03-15,,,,Crystals of Naramunz,https://www.crunchbase.com/organization/crystals-of-naramunz,"Umeå, Vasterbottens Lan, Sweden, Europe",Crystals of Naramunz develops an action RPG set in the post-apocalyptic steampunk world.,https://www.naramunz.com/,Seed,1,1500000,USD,1500000,Yes,Seed,6
Seed Round - ProteinDistillery,https://www.crunchbase.com/funding_round/proteindistillery-seed--e2d01e49,"Alternative Protein, Food and Beverage, Manufacturing, Nutrition",Green Generation Fund,"Green Generation Fund, SFO, Wendelin Wiedeking",15000000,EUR,16426655,Seed,2024-03-07,,,,ProteinDistillery,https://www.crunchbase.com/organization/proteindistillery,"Ostfildern, Baden-Wurttemberg, Germany, Europe",German-based food-tech startup developing new generation of clean and sustainable proteins for food manufacturers using microorganisms.,https://www.proteindistillery.com/,Seed,1,15000000,EUR,16426655,Yes,Seed,3
Pre Seed Round - Healthtech 1,https://www.crunchbase.com/funding_round/healthtech-1-pre-seed--a7ca9238,"Health Care, Primary and Urgent Care",Y Combinator,"Eight Capital, Y Combinator",500000,USD,500000,Pre-Seed,2023-09-06,,,,Healthtech 1,https://www.crunchbase.com/organization/healthtech-1,"England, Nordrhein-Westfalen, Germany, Europe",Healthtech 1 focuses on automating away admin tasks in primary care.,https://healthtech1.uk/,Seed,3,3941226,USD,3941226,Yes,Seed,2
Seed Round - Particula,https://www.crunchbase.com/funding_round/particula-055c-seed--b02e9451,,,"Asia Pacific Investment Partners, Blockchain Founders Group, Futury Capital, HATCHER+, Plug and Play, Vanagon Ventures",,,,Seed,2023-12-08,,,,Particula,https://www.crunchbase.com/organization/particula-055c,"Munich, Bayern, Germany, Europe",Particula developed the first rating & analytics platform for digital assets.,https://particula.io/,Seed,1,,,,Yes,Seed,6
